model,random_state,accuracy,sensitivity,specificity,balanced_accuracy,f1
1,655,0.8241758241758241,0.7619047619047619,0.8428571428571429,0.8023809523809524,0.6666666666666666
2,115,0.8351648351648352,0.6190476190476191,0.9,0.7595238095238095,0.6341463414634146
3,26,0.8241758241758241,0.75,0.8450704225352113,0.7975352112676056,0.6521739130434783
4,760,0.8351648351648352,0.5882352941176471,0.8918918918918919,0.7400635930047694,0.5714285714285715
5,282,0.7912087912087912,0.6,0.8636363636363636,0.7318181818181818,0.6122448979591836
6,251,0.8681318681318682,0.8,0.881578947368421,0.8407894736842105,0.6666666666666666
7,229,0.7802197802197802,0.6551724137931034,0.8387096774193549,0.7469410456062291,0.6551724137931034
8,143,0.7912087912087912,0.7391304347826086,0.8088235294117647,0.7739769820971867,0.6415094339622641
9,755,0.8681318681318682,0.6666666666666666,0.9178082191780822,0.7922374429223744,0.6666666666666666
10,105,0.8241758241758241,0.7916666666666666,0.835820895522388,0.8137437810945274,0.7037037037037038
11,693,0.7692307692307693,0.5909090909090909,0.8260869565217391,0.708498023715415,0.5531914893617023
12,759,0.8681318681318682,0.6666666666666666,0.9178082191780822,0.7922374429223744,0.6666666666666666
13,914,0.8241758241758241,0.6818181818181818,0.8695652173913043,0.775691699604743,0.6521739130434783
14,559,0.8241758241758241,0.7272727272727273,0.855072463768116,0.7911725955204216,0.6666666666666667
15,90,0.8131868131868132,0.6,0.8732394366197183,0.7366197183098591,0.5853658536585366
16,605,0.7912087912087912,0.6842105263157895,0.8194444444444444,0.751827485380117,0.5777777777777778
17,433,0.8351648351648352,0.6666666666666666,0.868421052631579,0.7675438596491229,0.5714285714285715
18,33,0.8681318681318682,0.65,0.9295774647887324,0.7897887323943662,0.6842105263157895
19,31,0.8131868131868132,0.7,0.8450704225352113,0.7725352112676056,0.6222222222222222
20,96,0.8131868131868132,0.7058823529411765,0.8378378378378378,0.7718600953895072,0.5853658536585366
21,224,0.7802197802197802,0.6296296296296297,0.84375,0.7366898148148149,0.6296296296296297
22,239,0.8131868131868132,0.7647058823529411,0.8243243243243243,0.7945151033386327,0.6046511627906976
23,518,0.7692307692307693,0.42105263157894735,0.8611111111111112,0.6410818713450293,0.43243243243243246
24,617,0.8021978021978022,0.5789473684210527,0.8611111111111112,0.7200292397660819,0.5500000000000002
25,28,0.8351648351648352,0.6153846153846154,0.8717948717948718,0.7435897435897436,0.5161290322580646
26,575,0.8241758241758241,0.5238095238095238,0.9142857142857143,0.719047619047619,0.5789473684210527
27,204,0.7802197802197802,0.7619047619047619,0.7857142857142857,0.7738095238095237,0.6153846153846153
28,734,0.7912087912087912,0.8235294117647058,0.7837837837837838,0.8036565977742448,0.5957446808510638
29,666,0.8021978021978022,0.7647058823529411,0.8108108108108109,0.787758346581876,0.5909090909090909
30,719,0.8461538461538461,0.75,0.8732394366197183,0.8116197183098591,0.6818181818181818
31,559,0.8241758241758241,0.7272727272727273,0.855072463768116,0.7911725955204216,0.6666666666666667
32,430,0.8021978021978022,0.7058823529411765,0.8243243243243243,0.7651033386327504,0.5714285714285713
33,226,0.8681318681318682,0.7619047619047619,0.9,0.8309523809523809,0.7272727272727272
34,460,0.8021978021978022,0.7241379310344828,0.8387096774193549,0.7814238042269188,0.7
35,604,0.8131868131868132,0.6363636363636364,0.8695652173913043,0.7529644268774703,0.6222222222222223
36,285,0.8131868131868132,0.7647058823529411,0.8243243243243243,0.7945151033386327,0.6046511627906976
37,829,0.8681318681318682,0.7058823529411765,0.9054054054054054,0.8056438791732909,0.6666666666666667
38,891,0.8241758241758241,0.6428571428571429,0.8571428571428571,0.75,0.5294117647058824
39,7,0.8241758241758241,0.7368421052631579,0.8472222222222222,0.79203216374269,0.6363636363636364
40,778,0.7802197802197802,0.631578947368421,0.8194444444444444,0.7255116959064327,0.5454545454545454
41,826,0.8241758241758241,0.5294117647058824,0.8918918918918919,0.7106518282988872,0.5294117647058824
42,164,0.8681318681318682,0.75,0.8933333333333333,0.8216666666666667,0.6666666666666665
43,715,0.8241758241758241,0.7368421052631579,0.8472222222222222,0.79203216374269,0.6363636363636364
44,433,0.8351648351648352,0.6666666666666666,0.868421052631579,0.7675438596491229,0.5714285714285715
45,349,0.8681318681318682,0.6428571428571429,0.9090909090909091,0.775974025974026,0.6000000000000001
46,285,0.8131868131868132,0.7647058823529411,0.8243243243243243,0.7945151033386327,0.6046511627906976
47,160,0.7802197802197802,0.6111111111111112,0.821917808219178,0.7165144596651446,0.5238095238095238
48,221,0.8131868131868132,0.75,0.8266666666666667,0.7883333333333333,0.5853658536585366
49,981,0.8131868131868132,0.625,0.8533333333333334,0.7391666666666667,0.5405405405405405
50,782,0.8681318681318682,0.7,0.9154929577464789,0.8077464788732394,0.7
51,345,0.8901098901098901,0.8421052631578947,0.9027777777777778,0.8724415204678362,0.761904761904762
52,105,0.8241758241758241,0.7916666666666666,0.835820895522388,0.8137437810945274,0.7037037037037038
53,95,0.8681318681318682,0.75,0.8933333333333333,0.8216666666666667,0.6666666666666665
54,390,0.8351648351648352,0.7391304347826086,0.8676470588235294,0.803388746803069,0.693877551020408
55,100,0.8351648351648352,0.8,0.8421052631578947,0.8210526315789474,0.6153846153846154
56,368,0.8131868131868132,0.6842105263157895,0.8472222222222222,0.7657163742690059,0.6046511627906976
57,868,0.8241758241758241,0.6666666666666666,0.8552631578947368,0.7609649122807017,0.5555555555555556
58,353,0.8681318681318682,0.6818181818181818,0.927536231884058,0.8046772068511199,0.7142857142857143
59,619,0.8241758241758241,0.5416666666666666,0.9253731343283582,0.7335199004975124,0.619047619047619
60,271,0.8571428571428571,0.7083333333333334,0.9104477611940298,0.8093905472636815,0.723404255319149
61,827,0.7692307692307693,0.391304347826087,0.8970588235294118,0.6441815856777494,0.46153846153846156
62,45,0.8351648351648352,0.9411764705882353,0.8108108108108109,0.875993640699523,0.6808510638297872
63,748,0.8241758241758241,0.7777777777777778,0.8356164383561644,0.8066971080669711,0.6363636363636364
64,471,0.7802197802197802,0.6153846153846154,0.8076923076923077,0.7115384615384616,0.4444444444444444
65,550,0.8131868131868132,0.7142857142857143,0.8311688311688312,0.7727272727272727,0.5405405405405405
66,128,0.8241758241758241,0.7368421052631579,0.8472222222222222,0.79203216374269,0.6363636363636364
67,997,0.7802197802197802,0.5238095238095238,0.8571428571428571,0.6904761904761905,0.5238095238095238
68,945,0.8241758241758241,0.6875,0.8533333333333334,0.7704166666666667,0.5789473684210527
69,388,0.8241758241758241,0.6666666666666666,0.8481012658227848,0.7573839662447257,0.5
70,81,0.8021978021978022,0.8235294117647058,0.7972972972972973,0.8104133545310015,0.608695652173913
71,566,0.8681318681318682,0.7142857142857143,0.9142857142857143,0.8142857142857143,0.7142857142857143
72,301,0.7472527472527473,0.6190476190476191,0.7857142857142857,0.7023809523809523,0.5306122448979592
73,850,0.7692307692307693,0.55,0.8309859154929577,0.6904929577464789,0.5116279069767442
74,644,0.7912087912087912,0.5714285714285714,0.8571428571428571,0.7142857142857142,0.5581395348837208
75,634,0.8461538461538461,0.5625,0.9066666666666666,0.7345833333333334,0.5625
76,907,0.7802197802197802,0.7083333333333334,0.8059701492537313,0.7571517412935324,0.6296296296296297
77,883,0.8461538461538461,0.7647058823529411,0.8648648648648649,0.814785373608903,0.65
78,371,0.8021978021978022,0.5333333333333333,0.8552631578947368,0.6942982456140351,0.47058823529411764
79,592,0.8571428571428571,0.7647058823529411,0.8783783783783784,0.8215421303656598,0.6666666666666667
80,197,0.8241758241758241,0.75,0.84,0.7949999999999999,0.6
81,722,0.8241758241758241,0.6363636363636364,0.85,0.7431818181818182,0.4666666666666667
82,72,0.7802197802197802,0.5,0.8493150684931506,0.6746575342465753,0.4736842105263158
83,47,0.8021978021978022,0.6363636363636364,0.855072463768116,0.7457180500658762,0.6086956521739131
84,678,0.8901098901098901,0.76,0.9393939393939394,0.8496969696969697,0.7916666666666667
85,234,0.7362637362637363,0.6086956521739131,0.7794117647058824,0.6940537084398977,0.5384615384615384
86,792,0.8351648351648352,0.7222222222222222,0.863013698630137,0.7926179604261796,0.6341463414634146
87,297,0.8021978021978022,0.7083333333333334,0.835820895522388,0.7720771144278606,0.6538461538461539
88,82,0.8131868131868132,0.4666666666666667,0.881578947368421,0.6741228070175438,0.45161290322580644
89,876,0.8351648351648352,0.7222222222222222,0.863013698630137,0.7926179604261796,0.6341463414634146
90,239,0.8131868131868132,0.7647058823529411,0.8243243243243243,0.7945151033386327,0.6046511627906976
91,888,0.7802197802197802,0.5454545454545454,0.855072463768116,0.7002635046113307,0.5454545454545454
92,104,0.7472527472527473,0.6428571428571429,0.7662337662337663,0.7045454545454546,0.43902439024390244
93,390,0.8351648351648352,0.7391304347826086,0.8676470588235294,0.803388746803069,0.693877551020408
94,285,0.8131868131868132,0.7647058823529411,0.8243243243243243,0.7945151033386327,0.6046511627906976
95,465,0.7802197802197802,0.6363636363636364,0.8,0.7181818181818183,0.411764705882353
96,651,0.7802197802197802,0.5555555555555556,0.8356164383561644,0.69558599695586,0.5
97,855,0.8241758241758241,0.6666666666666666,0.8714285714285714,0.769047619047619,0.6363636363636365
98,374,0.7912087912087912,0.5833333333333334,0.8227848101265823,0.7030590717299579,0.4242424242424242
99,167,0.7912087912087912,0.5,0.8732394366197183,0.6866197183098591,0.5128205128205129
100,380,0.8021978021978022,0.68,0.8484848484848485,0.7642424242424243,0.6538461538461539
